electorate_name,electorate_type,Total_valid_electorate_votes,National_votes,National_share,Labour_votes,Labour_share,Green_votes,Green_share,ACT_votes,ACT_share,NZ First_votes,NZ First_share,Te Pāti Māori_votes,Te Pāti Māori_share,TOP_votes,TOP_share,Others_votes,Others_share
Auckland Central,general,28147.34855162094,10561.683343444884,0.3752443397974318,3682.6692561510667,0.13084096055335576,12164.710014049955,0.43219801518500284,797.4971874985096,0.028334148627824615,1.0000148965056376e-09,3.552936756618009e-14,1.0000395017484061e-09,3.5530241761872007e-14,444.9129989471882,0.015807242001896548,495.87575152733757,0.017617889398181822
Banks Peninsula,general,40402.0,14913.0,0.3691153903272115,14816.0,0.3667145190832137,6435.0,0.15927429335181426,1644.0,0.040691054898272364,1337.0,0.033092421167268946,0.0,0.0,0.0,0.0,1257.0,0.031112321172219196
Botany,general,32915.89625878326,24115.97279431857,0.732685503629272,5439.163313146521,0.16525131063149492,9.999723092166142e-10,3.0380910662094794e-14,2132.9951805371697,0.06480413049971868,199.92726084288086,0.006074140448292295,1.0000054653170653e-09,3.038191800251455e-14,9.999724444738993e-10,3.038091477144808e-14,1027.8377099351114,0.03122751035489564
Christchurch Central,general,32284.15942435544,11249.215184656461,0.34845864200609467,13997.551041144872,0.4335918148193281,3992.7659747070743,0.12368096676577685,1088.498944945456,0.03371762900385337,1113.4739469099468,0.034491261219593734,1.0000365942423038e-09,3.097739601082358e-14,1.0000035723713002e-09,3.097637311668052e-14,842.6543319896289,0.02610228174905573
Christchurch East,general,33208.754367197565,11271.034939381569,0.3394139662944608,13500.569482090907,0.40655377787355657,3579.226585465777,0.10778420066774955,1421.4467054417184,0.042805196396333754,1740.997927236829,0.05242810575710188,1.0000336960058369e-09,3.011483905559378e-14,1.0000006742288148e-09,3.011384464360115e-14,1695.4787275787617,0.05105734857450177
Coromandel,general,39560.0,21865.0,0.5527047522750252,6701.0,0.16938827098078868,4036.0,0.10202224469160769,2228.0,0.056319514661274016,2675.0,0.06761880687563195,0.0,0.0,0.0,0.0,2055.0,0.0519464105156724
Dunedin,general,34126.0,7439.0,0.21798628611615778,14566.0,0.42682998300416103,6041.0,0.17702045361308094,1392.0,0.04079001347945848,1100.0,0.03223348766336517,0.0,0.0,1446.0,0.042372384692023674,2142.0,0.06276739143175292
East Cape,general,33997.44807878574,15049.123145999145,0.4426733482174122,11855.057446574114,0.34871918597994217,1351.9918315611499,0.039769144357017,1603.128659188325,0.04715639072797755,2198.0055172764855,0.06465482754666683,912.0247289465857,0.026827412899946633,9.999940935149671e-10,2.941505158003786e-14,1028.1167492389302,0.030242285834772627
East Coast Bays,general,28067.824288397813,20472.319503232284,0.7294185442683544,5220.585178431956,0.18600684892982242,69.83146442299117,0.0024880602862564494,1092.6417148369474,0.03893027992833987,9.999817515210328e-10,3.5628851600046026e-14,1.0000063559484167e-09,3.5629728243535404e-14,9.999733350762864e-10,3.562855172631292e-14,1212.4464274706338,0.04319886215088455
Epsom,general,29671.739841080744,7041.7298282312495,0.2373312051264826,4382.112596918421,0.1476926961124012,2717.232469173487,0.09158034634221893,13796.48993488239,0.4649905154886462,409.2701837354053,0.013793852973291163,1.0000142221777347e-09,3.3704016808704784e-14,1194.6320924942827,0.040263327493445675,130.27273564450914,0.0043906520272449885
