electorate_name,electorate_type,Total_valid_party_votes,National_votes,National_share,Labour_votes,Labour_share,Green_votes,Green_share,ACT_votes,ACT_share,NZ First_votes,NZ First_share,Te Pāti Māori_votes,Te Pāti Māori_share,TOP_votes,TOP_share,Others_votes,Others_share
Auckland Central,general,41533.55211424619,13231.512595807952,0.3185846945184299,9651.091234822727,0.2323763009370242,10529.866288950525,0.25353520322748646,3707.9401832993885,0.08927875645625788,1518.7075807262147,0.03656702037390461,683.1101835764437,0.01644773774587794,1489.4042987149296,0.03586146406805108,721.919748348007,0.0173821836943373
Banks Peninsula,general,49559.0,15839.0,0.3195988619625093,13200.0,0.2663491999435017,9763.0,0.1969975181097278,3919.0,0.07907746322565024,2658.0,0.05363304344316875,388.0,0.007829052240763534,2401.0,0.04844730523214754,1391.0,0.028067555842531126
Botany,general,41663.75136601104,26768.096064408404,0.6425006917949102,5961.55265646788,0.14309204871112488,2349.0642510099487,0.0563833678238834,3695.398761958516,0.0886987350651857,1302.2469768096216,0.0312571570826251,114.67968904824119,0.0027525969486596946,507.9087484663758,0.012191069602900638,964.8042178420541,0.02315769399207986
Christchurch Central,general,42338.97384043196,12896.760560726923,0.30461746329608264,12227.639424718172,0.2888130306923273,8464.169811874262,0.1999210518687874,2777.446804900111,0.06560242753710499,2212.1125605373995,0.05224940895377245,421.16434343715383,0.00994777047495675,2275.5384012239947,0.05374750753491592,1064.1419330139397,0.025134700663421886
Christchurch East,general,41412.076419083656,11889.28830914119,0.28710670838189345,14211.39375094727,0.3431817258747432,6057.766707097325,0.14628507730634432,2935.874233744076,0.07089652177291358,2819.6879821008897,0.06809081537559643,445.2737602832838,0.010752627097575731,1423.2430340179824,0.034368972481741304,1629.548641751642,0.03935091273056143
Coromandel,general,46892.0,20206.0,0.43090505843214194,9223.0,0.19668600187665272,3672.0,0.07830760044357246,5588.0,0.11916744860530581,4895.0,0.10438880832551395,362.0,0.007719866928260684,509.0,0.010854730017913504,2437.0,0.05197048537063892
Dunedin,general,42507.0,9652.0,0.22706848283812078,13160.0,0.30959606653021854,11449.0,0.26934387277389604,2460.0,0.057872820947138116,2396.0,0.056367186581033714,613.0,0.014421154162843767,1810.0,0.042581221916390244,967.0,0.022749194250358765
East Cape,general,40355.346250656345,14908.664431128915,0.36944700478586795,12053.963628667463,0.29870554662901977,3014.9964336731505,0.07471369464422735,3599.3047591842046,0.08919325864063549,3896.290295801145,0.09655276542105232,915.0155280222078,0.022674716955499028,459.998100608867,0.011399070739179932,1507.1130735703964,0.037347303205887805
East Coast Bays,general,36903.15370866567,21202.976108602965,0.5745764611050826,5427.18330295455,0.14707047539024376,3312.8987282094367,0.08977577569791108,3606.7907555793136,0.09773991432487801,1456.4981472709521,0.039469438006181544,134.22075058080938,0.003637229202191973,615.0700500672185,0.016667696595477312,1147.515865400422,0.031096370699403363
Epsom,general,43093.35203540981,21993.037287399577,0.5103750337062251,6402.750996409874,0.14858358183557807,6050.66926549181,0.14041309938076932,5318.91630435073,0.12343188676667627,1124.0289502252335,0.02608445144985279,335.9857272498235,0.007796955219467761,1418.3678452373535,0.03291494154995964,449.59565904540676,0.010433411112840577
Glendene,general,33334.22695754515,11201.587059958285,0.33604981362281205,11940.039874325148,0.3582035432067474,4509.898883650662,0.13529785299139363,2002.1388226374627,0.060064558226700177,1499.8305531591416,0.04499521140683842,567.2827457741666,0.01701859388035285,636.1030902970177,0.019083217743611738,977.3459277432657,0.029320569942913238
Hamilton East,general,38210.0,16373.0,0.42850039256739075,9497.0,0.248547500654279,4718.0,0.12347552996597749,3085.0,0.08073802669458258,1914.0,0.05009159905783826,565.0,0.014786705051033761,1040.0,0.027218005757655064,1018.0,0.026642240251243128
