electorate_name,electorate_type,Total_valid_electorate_votes,ACT NEW ZEALAND_votes,ACT NEW ZEALAND_share,ANIMAL JUSTICE PARTY_votes,ANIMAL JUSTICE PARTY_share,AOTEAROA LEGALISE CANNABIS PARTY_votes,AOTEAROA LEGALISE CANNABIS PARTY_share,DEMOCRACYNZ_votes,DEMOCRACYNZ_share,FREEDOMS NZ_votes,FREEDOMS NZ_share,GREEN PARTY_votes,GREEN PARTY_share,LABOUR PARTY_votes,LABOUR PARTY_share,LEIGHTON BAKER_votes,LEIGHTON BAKER_share,NATIONAL PARTY_votes,NATIONAL PARTY_share,NEW CONSERVATIVES_votes,NEW CONSERVATIVES_share,NEW NATION PARTY_votes,NEW NATION PARTY_share,NEW ZEALAND FIRST PARTY_votes,NEW ZEALAND FIRST PARTY_share,NZ LOYAL_votes,NZ LOYAL_share,NEWZEAL_votes,NEWZEAL_share,TE PĀTI MĀORI_votes,TE PĀTI MĀORI_share,THE OPPORTUNITIES PARTY (TOP)_votes,THE OPPORTUNITIES PARTY (TOP)_share,WOMEN’S RIGHTS PARTY_votes,WOMEN’S RIGHTS PARTY_share,Economic Euthenics_votes,Economic Euthenics_share,Future Youth Party_votes,Future Youth Party_share,Human Rights Party_votes,Human Rights Party_share,"INDEPENDENT — BAINS, Pete_votes","INDEPENDENT — BAINS, Pete_share","INDEPENDENT — BALDOCK, Larry_votes","INDEPENDENT — BALDOCK, Larry_share","INDEPENDENT — BRIDGE, Phillip_votes","INDEPENDENT — BRIDGE, Phillip_share","INDEPENDENT — BURR, Bill_votes","INDEPENDENT — BURR, Bill_share","INDEPENDENT — CARACAS, Monaco_votes","INDEPENDENT — CARACAS, Monaco_share","INDEPENDENT — DICKSON, Gordon John_votes","INDEPENDENT — DICKSON, Gordon John_share","INDEPENDENT — DONG, Changrong_votes","INDEPENDENT — DONG, Changrong_share","INDEPENDENT — FUIMAONO PUHI, Geoffrey Karena_votes","INDEPENDENT — FUIMAONO PUHI, Geoffrey Karena_share","INDEPENDENT — GARDNER, Jared Warren_votes","INDEPENDENT — GARDNER, Jared Warren_share","INDEPENDENT — GARDNER, Mac_votes","INDEPENDENT — GARDNER, Mac_share","INDEPENDENT — GEIRINGER, Karl Thomas_votes","INDEPENDENT — GEIRINGER, Karl Thomas_share","INDEPENDENT — GREEN, Fiona_votes","INDEPENDENT — GREEN, Fiona_share","INDEPENDENT — HOWARD, Ted_votes","INDEPENDENT — HOWARD, Ted_share","INDEPENDENT — KERR, Karin_votes","INDEPENDENT — KERR, Karin_share","INDEPENDENT — LIU, Andi Shen_votes","INDEPENDENT — LIU, Andi Shen_share","INDEPENDENT — McCASKEY, John_votes","INDEPENDENT — McCASKEY, John_share","INDEPENDENT — McDONALD, Don S_votes","INDEPENDENT — McDONALD, Don S_share","INDEPENDENT — McTAGUE, Geoff_votes","INDEPENDENT — McTAGUE, Geoff_share","INDEPENDENT — NAERA, Jonn_votes","INDEPENDENT — NAERA, Jonn_share","INDEPENDENT — NAUFAHU, Tesi_votes","INDEPENDENT — NAUFAHU, Tesi_share","INDEPENDENT — O'MALLEY, Jim_votes","INDEPENDENT — O'MALLEY, Jim_share","INDEPENDENT — PAO STANLEY, Brooke_votes","INDEPENDENT — PAO STANLEY, Brooke_share","INDEPENDENT — PARK, Sam_votes","INDEPENDENT — PARK, Sam_share","INDEPENDENT — PETROWSKI, Melanie Lorraine_votes","INDEPENDENT — PETROWSKI, Melanie Lorraine_share","INDEPENDENT — PHELPS, Patrick Sean_votes","INDEPENDENT — PHELPS, Patrick Sean_share","INDEPENDENT — PHILLIPS, Melanie_votes","INDEPENDENT — PHILLIPS, Melanie_share","INDEPENDENT — PONK, Michael_votes","INDEPENDENT — PONK, Michael_share","INDEPENDENT — RICHARDS, Don_votes","INDEPENDENT — RICHARDS, Don_share","INDEPENDENT — SHAND, Daniel_votes","INDEPENDENT — SHAND, Daniel_share","INDEPENDENT — SMITH, John Clive_votes","INDEPENDENT — SMITH, John Clive_share","INDEPENDENT — TAYLOR, Pamela_votes","INDEPENDENT — TAYLOR, Pamela_share","INDEPENDENT — THOMSON, Wiremu_votes","INDEPENDENT — THOMSON, Wiremu_share","INDEPENDENT — TOAUTU, Paturiri_votes","INDEPENDENT — TOAUTU, Paturiri_share","INDEPENDENT — WAHED, Taupo_votes","INDEPENDENT — WAHED, Taupo_share","INDEPENDENT — WAKEMAN, Peter Keith_votes","INDEPENDENT — WAKEMAN, Peter Keith_share","INDEPENDENT — WEBBER, David_votes","INDEPENDENT — WEBBER, David_share",Money Free Party NZ_votes,Money Free Party NZ_share,NAP_votes,NAP_share,New World Order McCann Party_votes,New World Order McCann Party_share,New Zealand Sovereignty Party_votes,New Zealand Sovereignty Party_share,Northland Party_votes,Northland Party_share,Progressive Aotearoa New Zealand_votes,Progressive Aotearoa New Zealand_share,Protect and Prosper New Zealand_votes,Protect and Prosper New Zealand_share,Republic of New Zealand Party_votes,Republic of New Zealand Party_share,Workers Now_votes,Workers Now_share
Auckland Central,general,28128.01870663772,796.6551593506268,0.0283224768747267,90.86494780480116,0.003230406974358227,179.7617179819598,0.00639084180996862,1.0000108408864228e-09,3.5552125136010304e-14,59.926529215706154,0.002130492369217763,12152.241357411898,0.432033321797535,3691.1682086241703,0.131227451429173,1.00001737169069e-09,3.5552357317463795e-14,10561.992822492217,0.37549721978817413,1.000010661737643e-09,3.555211876695951e-14,62.88150488734085,0.0022355468951854016,1.0000121281698585e-09,3.555217090117596e-14,1.0000203171648095e-09,3.555246203419305e-14,1.0025086486095227e-09,3.564092654606164e-14,1.0000394280888235e-09,3.555314146078948e-14,440.1712263405307,0.015648852872693023,0.0,0.0,1.0000095526791373e-09,3.555207933800018e-14,1.0000185756697537e-09,3.55524001210141e-14,8.767960625588634,0.00031171625406803177,9.999933423265631e-10,3.555150303176463e-14,1.0000165120602465e-09,3.5552326756106014e-14,1.0000133853097976e-09,3.555221559468787e-14,1.0000216873885595e-09,3.5552510748031175e-14,1.0000113889473326e-09,3.555214462052912e-14,1.0000113890418038e-09,3.5552144623887733e-14,0.0,0.0,9.999836040156986e-10,3.5551156817871427e-14,1.0000132163984405e-09,3.555220958959527e-14,0.0,0.0,9.999936485060038e-10,3.555151391697641e-14,1.0000126991742063e-09,3.555219120137391e-14,0.0,0.0,1.0000248396227735e-09,3.55526228154415e-14,64.89776541043162,0.0023072284645173705,0.0,0.0,9.999896398259153e-10,3.555137140142527e-14,1.000009509516965e-09,3.5552077803509865e-14,1.0001053837336446e-09,3.5555486298707465e-14,18.68950645544168,0.0006644444690671116,0.0,0.0,9.999925949961218e-10,3.5551476462867295e-14,1.000002128270041e-09,3.555181538734038e-14,1.0000185665945684e-09,3.555239979837548e-14,0.0,0.0,1.0000080668907414e-09,3.5552026515637844e-14,1.000018604788284e-09,3.5552401156228513e-14,1.000011389314237e-09,3.555214463357321e-14,0.0,0.0,1.0000170308300443e-09,3.555234519927484e-14,0.0,0.0,1.0000095641599985e-09,3.5552079746164763e-14,0.0,0.0,1.0000201825241797e-09,3.5552457247484425e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0000115194676595e-09,3.555214926075381e-14,0.0,0.0,1.0000200710127025e-09,3.5552453283057414e-14,1.0000037064648336e-09,3.5551871494910886e-14,0.0,0.0,1.000002560446833e-09,3.5551830751977205e-14,0.0,0.0,9.999969019866892e-10,3.555162958387494e-14
Banks Peninsula,general,40402.0,1644.0,0.040691054898272364,301.0,0.007450126231374685,0.0,0.0,374.0,0.00925696747685758,0.0,0.0,6435.0,0.15927429335181426,14816.0,0.3667145190832137,0.0,0.0,14913.0,0.3691153903272115,0.0,0.0,0.0,0.0,1337.0,0.033092421167268946,0.0,0.0,452.0,0.011187564972031088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0032176624919558437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botany,general,32956.9183892267,2074.414064532869,0.06294320482375484,286.5636643496791,0.00869509888531793,9.999698420210795e-10,3.0341727652181216e-14,9.999778460699977e-10,3.03419705161779e-14,39.283574998877654,0.0011919674811501513,9.999741345630213e-10,3.034185789924774e-14,5783.952765247833,0.17550041229396468,9.99984376656768e-10,3.034216867143905e-14,23878.688947742343,0.7245425274818187,178.92818804716669,0.0054291540833398,9.99981331415257e-10,3.034207627076387e-14,203.01074191361698,0.006159882411214127,480.1665207552568,0.014569521187764283,1.0024755713777669e-09,3.0417758102816626e-14,1.00000643232882e-09,3.034283789881619e-14,9.999743036650797e-10,3.034186303025108e-14,0.0,0.0,9.999765579038285e-10,3.034193142981205e-14,9.999855805973312e-10,3.034220520217742e-14,9.999705428424558e-10,3.034174891695385e-14,9.999603480859579e-10,3.034143958109977e-14,9.999835170560717e-10,3.0342142588882235e-14,9.99980390408176e-10,3.034204771812221e-14,9.999886922137145e-10,3.034229961684164e-14,9.999783941108483e-10,3.0341987145185623e-14,9.999783942068193e-10,3.034198714809764e-14,0.0,0.0,9.999506100963941e-10,3.0341144104761576e-14,9.99980221502326e-10,3.0342042593072354e-14,0.0,0.0,9.999606542552953e-10,3.034144887108659e-14,9.999797042956962e-10,3.0342026899656364e-14,0.0,0.0,31.909921599060418,0.0009682313504618035,9.999686204358295e-10,3.034169058605642e-14,0.0,0.0,9.999566457093735e-10,3.0341327241209836e-14,9.99976514742932e-10,3.0341930120196394e-14,1.000072385796181e-09,3.0344839101312794e-14,9.999702861084412e-10,3.034174112696537e-14,0.0,0.0,9.999596007800177e-10,3.034141690586262e-14,9.99969133740832e-10,3.034170616108672e-14,9.999855715223716e-10,3.0342204926819167e-14,0.0,0.0,9.99975072166493e-10,3.0341886348614895e-14,9.99985609714128e-10,3.034220608565799e-14,9.999783944794495e-10,3.034198715636996e-14,0.0,0.0,9.9998403580943e-10,3.034215832923005e-14,0.0,0.0,9.999765693845662e-10,3.034193177816797e-14,0.0,0.0,9.99987187398838e-10,3.034225395678147e-14,0.0,0.0,0.0,0.0,0.0,0.0,9.999785246282372e-10,3.0341991105428125e-14,0.0,0.0,9.999870758915912e-10,3.034225057335692e-14,9.999707118829127e-10,3.0341754046088043e-14,0.0,0.0,9.99969565902099e-10,3.034171927400164e-14,0.0,0.0,9.99963907629445e-10,3.0341547587056066e-14
Christchurch Central,general,32293.445236931362,1086.9788117598628,0.03365942542781946,263.5504461314274,0.008161112702525354,478.1673091148454,0.01480694628914987,1.0000083838330825e-09,3.096629599276868e-14,1.0000087066643032e-09,3.0966305989572006e-14,3949.2192709217807,0.12229166761078136,14005.967517738474,0.43370929967301847,28.23332448224586,0.0008742741530085407,11283.620974685768,0.34940901758545156,1.0000082046845248e-09,3.0966290445247924e-14,1.0000118692843705e-09,3.0966403923380064e-14,1114.0628457052894,0.034498110608255174,45.21027034949795,0.0013999828763328935,1.0025061854185676e-09,3.104364300753156e-14,1.0000369709658927e-09,3.0967181222963245e-14,1.0000048413205946e-09,3.096618629519811e-14,0.0,0.0,9.327163001814613,0.0002888252688241483,1.0000161185973299e-09,3.096653550775975e-14,1.0000010803832807e-09,3.0966069833876427e-14,9.999908853161347e-10,3.0965754133056305e-14,1.0000140549924465e-09,3.0966471606095854e-14,1.0000109282490677e-09,3.096637478324664e-14,1.0000192303084514e-09,3.0966631865119534e-14,1.000008931891663e-09,3.096631296397062e-14,1.0000089319870168e-09,3.0966312966923353e-14,0.0,0.0,9.99981147028522e-10,3.0965452576887825e-14,1.0000107593389657e-09,3.0966369552770276e-14,0.0,0.0,9.999911914955271e-10,3.096576361421851e-14,1.0000102421157768e-09,3.0966353536418196e-14,0.0,0.0,1.0000223825350394e-09,3.096672947708273e-14,9.999991579185692e-10,3.0966010302764233e-14,0.0,0.0,9.999871828247821e-10,3.0965639481574385e-14,14.528489632053786,0.0004498897384735756,1.0001029264475574e-09,3.0969223602807847e-14,1.0000008236409403e-09,3.096606188358378e-14,0.0,0.0,9.999901379869945e-10,3.0965730991234965e-14,9.999996712391557e-10,3.0966026198268193e-14,1.0000161095217207e-09,3.09665352267241e-14,0.0,0.0,1.0000056098452823e-09,3.096621009336155e-14,1.0000161477157761e-09,3.096653640944261e-14,1.000008932260292e-09,3.09663129753856e-14,0.0,0.0,1.0000145737615443e-09,3.0966487670318614e-14,0.0,0.0,14.578813371301024,0.0004514480652138172,0.0,0.0,1.000017725449472e-09,3.096658526560164e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0000090624130636e-09,3.096631700570106e-14,0.0,0.0,1.0000176139359453e-09,3.096658181246971e-14,1.0000012494292967e-09,3.096607506856151e-14,0.0,0.0,1.0000001034133133e-09,3.096603958098888e-14,0.0,0.0,9.999944449675479e-10,3.096586436135146e-14
Christchurch East,general,33191.21666185999,1422.275843224853,0.042850970415290304,315.36097818278324,0.009501338302707186,659.4841605246713,0.01986923731188451,1.0000087123345589e-09,3.012871515142946e-14,1.0000090351665694e-09,3.012872487785841e-14,3595.7200539912355,0.10833348143345031,13494.734285366441,0.40657546310657644,1.000015243123479e-09,3.012891191399428e-14,11256.036883666762,0.33912697441432055,517.0044116566222,0.015576542942781359,1.000012197786579e-09,3.012882016270565e-14,1740.6000452566138,0.05244158606745912,1.0000181885934063e-09,3.012900065644556e-14,1.0025065147411925e-09,3.0203970072997425e-14,1.0000372994764228e-09,3.0129576437779856e-14,1.0000051698215394e-09,3.0128608420993644e-14,0.0,0.0,1.000007424129213e-09,3.0128676339795674e-14,1.0000164471026737e-09,3.012894818802446e-14,1.0000014088819642e-09,3.0128495109703686e-14,9.999912138109937e-10,3.012818794799057e-14,1.0000143834953588e-09,3.012888601472916e-14,1.0000112567515662e-09,3.0128791810776815e-14,1.0000195588127e-09,3.0129041939032685e-14,1.0000092603930042e-09,3.0128731663582386e-14,1.0000092604896745e-09,3.012873166649491e-14,0.0,0.0,9.99981475520848e-10,3.01278945483769e-14,1.0000110878415911e-09,3.012878672178063e-14,0.0,0.0,9.999915199897822e-10,3.01281971726837e-14,1.000010570617789e-09,3.012877113862779e-14,0.0,0.0,1.000022711041482e-09,3.012913691080832e-14,9.999994864168652e-10,3.0128437188804957e-14,0.0,0.0,9.999875113188663e-10,3.0128076397631776e-14,1.0000073809669833e-09,3.012867503938448e-14,1.0001032549796797e-09,3.0131563575037547e-14,1.0000011521392843e-09,3.012848737444401e-14,0.0,0.0,9.999904664819738e-10,3.012816543212357e-14,189.99999995000076,0.005724406004324924,1.0000164380253078e-09,3.012894791453747e-14,0.0,0.0,1.0000059383450197e-09,3.012863157541694e-14,1.0000164762190216e-09,3.0128949065254965e-14,1.0000092607619882e-09,3.01287316746993e-14,0.0,0.0,1.0000149022648673e-09,3.012890164445174e-14,0.0,0.0,1.0000074356099003e-09,3.012867668569102e-14,0.0,0.0,1.0000180539526882e-09,3.012899659992906e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0000093909134023e-09,3.012873559596002e-14,0.0,0.0,1.0000179424416382e-09,3.0128993240273664e-14,1.0000015779278494e-09,3.0128500202794636e-14,0.0,0.0,1.0000004319116426e-09,3.01284656750996e-14,0.0,0.0,9.999947734631431e-10,3.0128295194801846e-14
Coromandel,general,39560.0,2228.0,0.056319514661274016,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.005207280080889788,4036.0,0.10202224469160769,6701.0,0.16938827098078868,0.0,0.0,21865.0,0.5527047522750252,0.0,0.0,0.0,0.0,2675.0,0.06761880687563195,1849.0,0.04673913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dunedin,general,34126.0,1392.0,0.04079001347945848,0.0,0.0,383.0,0.011223114340971693,0.0,0.0,0.0,0.0,6041.0,0.17702045361308094,14566.0,0.42682998300416103,0.0,0.0,7439.0,0.21798628611615778,121.0,0.0035456836429701693,0.0,0.0,1100.0,0.03223348766336517,442.0,0.012952001406552189,0.0,0.0,0.0,0.0,1446.0,0.042372384692023674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.0,0.03366934302291508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0013772490183437847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Cape,general,33997.44807878575,1603.1339973543375,0.047154539177153294,1.000004021445407e-09,2.941409070257261e-14,9.999914467812614e-10,2.94137208317483e-14,562.9996909145156,0.016560057378713224,265.9999398390399,0.007824114893053477,1351.9942396915956,0.03976752127272852,11855.104794638983,0.34870572541697664,1.0000059817327918e-09,2.9414148362411676e-14,15049.188223192019,0.4426564072784817,9.999992718551708e-10,2.941395099825642e-14,1.0000029364228557e-09,2.9414058787749217e-14,2198.0016227204824,0.06465195910077808,1.0000089271738313e-09,2.9414234999533164e-14,1.0024972302770822e-09,2.948742587837456e-14,912.0255705467687,0.026826294974647478,9.999959085222013e-10,2.941385206927323e-14,0.0,0.0,9.99998162809977e-10,2.941391837683168e-14,1.0000071856985819e-09,2.941418377582822e-14,9.9999214761818e-10,2.941374144614609e-14,9.999819526415642e-10,2.941344157138513e-14,1.0000051221114167e-09,2.941412307753226e-14,1.0000019953965127e-09,2.941403110842632e-14,1.0000102973808247e-09,2.9414275302763873e-14,52.99999995000028,0.0015589405365713917,58.99999995000027,0.0017354243710667216,0.0,0.0,9.999722144416742e-10,2.9413155132242185e-14,1.000001826487412e-09,2.9414026140138696e-14,0.0,0.0,9.99982258818714e-10,2.9413450577271366e-14,1.0000013092688066e-09,2.9414010926684903e-14,0.0,0.0,1.0000134495800594e-09,2.9414368021465215e-14,9.999902251702307e-10,2.9413684899315136e-14,0.0,0.0,9.999782501837257e-10,2.94133326673924e-14,9.999981196478288e-10,2.941391710726145e-14,1.0000939927724015e-09,2.941673711670305e-14,9.99991890877874e-10,2.941373389439381e-14,0.0,0.0,9.999812053198858e-10,2.9413419589685897e-14,9.999907384856901e-10,2.94136999979619e-14,1.00000717662229e-09,2.941418350885842e-14,0.0,0.0,9.999966770392207e-10,2.941387467441164e-14,1.0000072148157677e-09,2.9414184632280316e-14,86.99999995000024,0.002559015598711594,0.0,0.0,1.0000056408760523e-09,2.9414138336460943e-14,0.0,0.0,9.999981742902434e-10,2.941391871451192e-14,0.0,0.0,1.0000087925349166e-09,2.941423103926784e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001295761132e-09,2.941397622723656e-14,0.0,0.0,1.0000086810239326e-09,2.941422775928684e-14,9.999923166624348e-10,2.9413746418409134e-14,0.0,0.0,9.999911706578822e-10,2.941371270986284e-14,0.0,0.0,9.999855122618057e-10,2.941354627395672e-14
East Coast Bays,general,28063.488577848297,1095.2930608729132,0.039029112785980376,9.99925421474275e-10,3.563083109573051e-14,9.999128477995645e-10,3.563038305183619e-14,11.668561604862996,0.0004157915567943141,9.999211741948439e-10,3.5630679750347365e-14,68.7736659841309,0.0024506456420538133,5214.737578492332,0.18581929199666739,9.999273816070668e-10,3.5630900942099974e-14,20476.661727265106,0.7296548919947253,9.999206722587253e-10,3.563066186461241e-14,9.999243365380654e-10,3.5630792435668464e-14,9.999221385592021e-10,3.563071411401372e-14,537.1355431185897,0.019140013246342208,659.2184404683671,0.023490252775940204,9.999494360218618e-10,3.563168681783791e-14,9.999173091898752e-10,3.563054202673692e-14,0.0,0.0,9.999195633003684e-10,3.5630622348557456e-14,9.99928585479641e-10,3.563094384027961e-14,9.999135485816952e-10,3.563040802314825e-14,9.999033544061666e-10,3.5630044769110877e-14,9.99926522055155e-10,3.5630870313266734e-14,9.999233955845687e-10,3.563075890621277e-14,9.999316969175683e-10,3.563105471166749e-14,9.999213994025043e-10,3.563068777528196e-14,9.999213994979686e-10,3.563068777868369e-14,0.0,0.0,9.998936169705357e-10,3.562969779030944e-14,9.999232266898313e-10,3.563075288790408e-14,0.0,0.0,9.999036605572854e-10,3.5630055678343277e-14,9.999227095110888e-10,3.5630734459021256e-14,0.0,0.0,9.9993484886735e-10,3.563116702663407e-14,9.999116262845497e-10,3.563033952499485e-14,0.0,0.0,9.998996522393404e-10,3.5629912847991526e-14,9.999195201407844e-10,3.5630620810630914e-14,1.0000153857306876e-09,3.563403683603478e-14,9.999132918612677e-10,3.563039887530383e-14,0.0,0.0,9.999026071432603e-10,3.563001814152663e-14,9.999121395584197e-10,3.563035781473344e-14,9.999285764036044e-10,3.563094351686876e-14,0.0,0.0,9.999180776451708e-10,3.5630569409479925e-14,9.999286145944762e-10,3.5630944877742756e-14,9.999213997710863e-10,3.563068778841582e-14,0.0,0.0,9.999270407774504e-10,3.563088879715173e-14,0.0,0.0,9.9991957477936e-10,3.563062275759397e-14,0.0,0.0,9.999301921893154e-10,3.5631001092950456e-14,0.0,0.0,0.0,0.0,0.0,0.0,9.99921529911406e-10,3.5630692425769426e-14,0.0,0.0,9.99930080687291e-10,3.5630997119744345e-14,9.999137176119541e-10,3.563041404628605e-14,0.0,0.0,9.999125716969093e-10,3.5630373213335376e-14,0.0,0.0,9.999069137458223e-10,3.563017160079988e-14
Epsom,general,29669.44898007195,13796.945482321478,0.4650219655777382,1.1316783721268409,3.814288471912485e-05,5.230333083754396,0.00017628682916448664,9.999836458676141e-10,3.370415293318296e-14,3.074606126698853,0.0001036286898608724,2716.771439260493,0.09156797758816702,4381.529638915252,0.14767816017945562,9.999901764938698e-10,3.3704373046008784e-14,7040.996574551544,0.2373147064268286,9.999834667236073e-10,3.370414689518721e-14,2.1152030238437334,7.129229212394372e-05,409.2909183642377,0.013795029312446812,112.99922277344496,0.0038086053721234606,1.0024813856636223e-09,3.378833851403705e-14,1.0000122322931185e-09,3.3705116430197126e-14,1195.2646608110758,0.04028604176686591,0.0,0.0,9.999823576948452e-10,3.3704109515700894e-14,9.999913804414323e-10,3.3704413624705184e-14,9.999763425997219e-10,3.370390677869936e-14,9.999661477837218e-10,3.3703563165442276e-14,9.99989316886748e-10,3.3704344073205066e-14,0.0005584969740854799,1.8823975277080646e-08,9.99994492074178e-10,3.3704518501366283e-14,9.999841939140265e-10,3.3704171404925147e-14,9.999841940081927e-10,3.370417140809899e-14,0.0,0.0,9.99956409736889e-10,3.370323494745483e-14,9.999860213153551e-10,3.370423299694628e-14,0.0,0.0,9.999664539541824e-10,3.3703573484827063e-14,9.99985504105006e-10,3.370421556452448e-14,0.0,0.0,9.999976442238997e-10,3.370462474364007e-14,4.09866393502363,0.0001381442553171977,0.0,0.0,9.999624453843755e-10,3.370343837716768e-14,9.999823145339668e-10,3.3704108060976256e-14,1.0000781861433818e-09,3.3707339385207433e-14,9.9997608586214e-10,3.370389812543513e-14,0.0,0.0,9.99965400473436e-10,3.370353797757019e-14,9.99974933488891e-10,3.37038592850357e-14,9.99991371365784e-10,3.370441331881314e-14,0.0,0.0,9.999808719486597e-10,3.370405943906528e-14,9.999914095578462e-10,3.37044146060653e-14,9.999841942826269e-10,3.370417141734871e-14,0.0,0.0,9.999898356438155e-10,3.3704361557758545e-14,0.0,0.0,9.999823691759818e-10,3.370410990266921e-14,0.0,0.0,9.999929872521987e-10,3.370446778178668e-14,0.0,0.0,0.0,0.0,0.0,0.0,9.999843244299003e-10,3.3704175803924056e-14,0.0,0.0,9.999928757422652e-10,3.3704464023377365e-14,9.999765116402351e-10,3.370391247615985e-14,0.0,0.0,9.999753656526451e-10,3.3703873850987173e-14,0.0,0.0,9.99969707346676e-10,3.370368313945853e-14
